Iniciativa,Tipo,Estagio,Âmbito,Periodicidade,Estado,Município,latitude,longitude
1. Festival Gastronômico Sabores & Saberes Do Município De Taquarussu,Outros - ;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Outra,MS,Taquarussu,-22.4898,-53.3519
Festa Da Colônia Agrícola Italiana De Quiririm,Evento / Festival;Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,SP,Taubaté,-23.0104,-45.5593
Festival Nacional De Peixes E Frutos Do Mar,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Anual,RS,Tramandaí,-29.9841,-50.1322
Festival Regional Do Patrimonio  Cultural De Tres Marias -  Musica E Gastronomia,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Três Marias,-18.2048,-45.2473
Festa Dos Estados,Evento / Festival;Outros - ;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SP,,-22.19,-48.79
Turuçu Dos Sabores,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,RS,Turuçu,-31.4173,-52.1706
Festiata-Festival Da Ata De Araticum-Ubajara-Ce,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,CE,Ubajara,-3.85448,-40.9204
Festival Gastronômico,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Ubá,-21.1204,-42.9359
Festival Gastronômico,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Visconde do Rio Branco,-21.0127,-42.8361
Festival Gastronômico,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Divinésia,-20.9917,-43.0003
Festival Gastronômico,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Senador Firmino,-20.9158,-43.0904
Festival Gastronômico,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Rodeiro,-21.2035,-42.8586
Festival Gastronômico,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Viçosa,-20.7559,-42.8742
Festival Gastronômico,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Teixeiras,-20.6561,-42.8564
Festival Gastronômico,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Coimbra,-20.8535,-42.8008
Festival Gastronômico,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Guiricema,-21.0098,-42.7207
Festival De Arte E Gastronomia De Serra Grande,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,BA,Uruçuca,-14.5963,-39.2851
Festival Gastronômico Do Vale Das Frutas,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,SP,Valinhos,-22.9698,-46.9974
Caipirao Das Montanhas,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,ES,Vargem Alta,-20.669,-41.0179
Festival De Inverno Das Montanhas,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,ES,Vargem Alta,-20.669,-41.0179
Polo Gastronômico De Varjota,Projeto de Qualificação;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,CE,,-5.2,-39.53
Encontro Da Mulher Do Campo E Festival De Pratos Típicos,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Vazante,-17.9827,-46.9088
Festival Gastronômico,Evento / Festival;Projeto de Qualificação;Produto Turístico de Gastronomia;Outros - Festival Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,BA,Vera Cruz,-12.9568,-38.6153
Festival Gastronômico,Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,MG,Visconde do Rio Branco,-21.0127,-42.8361
Festival De Gastronomia E Cultura De Aracati,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,CE,Aracati,-4.55826,-37.7679
Festival De Gastronomia E Cultura De Aracati,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,CE,Fortim,-4.4512599999999996,-37.7981
Festival De Gastronomia E Cultura De Aracati,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,CE,Icapuí,-4.71206,-37.3531
Festival De Gastronomia E Cultura De Aracati,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,CE,Beberibe,-4.17741,-38.1271
Festival De Gastronomia E Cultura De Aracati,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,CE,Cascavel,-4.12967,-38.2412
Festival De Gastronomia E Cultura De Aracati,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,CE,Aquiraz,-3.89929,-38.3896
Festa Do Peixe,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,RJ,Carmo,-21.930999999999997,-42.6046
Queima Do Alho,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Guaranésia,-21.3009,-46.7964
"Fest Vita - Festival Gastronômico De Torresmo , Angu E Viola",Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Santa Cruz de Minas,-21.1241,-44.2202
Festival Gastronomico Sabores E Aromas Da Canastra,Evento / Festival;Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,,-18.1,-44.38
"Festival De Inverno De Indaiatuba, Fenui - Festa Das Nações Unidas De Indaiatuba E Festa Da Tradição De Helvetia",Evento / Festival;Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,SP,,-22.19,-48.79
"Sorvete Artesanal Adriano , Geleia De Mocotó Nevada.",Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,São Simão,-21.4732,-47.5518
Festa Da Laranja,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,RJ,Tanguá,-22.7423,-42.7202
Circuito Da Laranja,Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Outra,RJ,Tanguá,-22.7423,-42.7202
Rota Do Queijo E Do Azeite,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Outra,MG,Alagoa,-22.171,-44.6413
Rota Do Queijo E Do Azeite,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Outra,MG,Itamonte,-22.2859,-44.868
Rota Do Queijo E Do Azeite,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Outra,MG,Itanhandu,-22.2942,-44.9382
Rota Do Queijo E Do Azeite,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Outra,MG,Caxambu,-21.9753,-44.9319
Rota Do Queijo E Do Azeite,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Outra,MG,São Lourenço,-22.1166,-45.0506
Rota Do Queijo E Do Azeite,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Outra,MG,Baependi,-21.956999999999997,-44.8874
