Iniciativa,Tipo,Estagio,Âmbito,Periodicidade,Estado,Município,latitude,longitude
"Tempero No Forte- Festival De Cultura E Gastronomia De Salvador, Praia Do Forte  E Litoral Norte- Bahia",Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,BA,Salvador,-12.9718,-38.5011
"Tempero No Forte- Festival De Cultura E Gastronomia De Salvador, Praia Do Forte  E Litoral Norte- Bahia",Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,BA,Mata de São João,-12.5307,-38.3009
Porto Alegre Capital Das Microcervejarias,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Mensal,RS,Porto Alegre,-30.0318,-51.2065
A Caiçara,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,PR,Curitiba,-25.4195,-49.2646
Ambrosia Evento Gastronômico,Evento / Festival;Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,PE,,-8.38,-37.86
Festival Gastronômico De Rolândia,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,PR,Rolândia,-23.3101,-51.3659
Festival Gastronômico De Rolândia,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,PR,Cambé,-23.2766,-51.2798
Festival Gastronômico De Rolândia,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,PR,Arapongas,-23.4153,-51.4259
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Natal,-5.79357,-35.1986
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Tibau do Sul,-6.1917599999999995,-35.0866
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Mossoró,-5.18374,-37.3474
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Ceará-Mirim,-5.64323,-35.4247
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Extremoz,-5.70143,-35.3048
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Nísia Floresta,-6.0932900000000005,-35.1991
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Parnamirim,-5.91116,-35.271
Bocuse D'Or Brasil,Evento / Festival;Projeto de Qualificação;,Consolidada (geralmente com mais de 2 anos),Internacional,Anual,SP,,-22.19,-48.79
Podcast: Radar Do Turismo Gastronômico,Projeto Promocional;Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,PA,Belém,-1.4554,-48.4898
Festival Do Pinhão - Rota Das Colônias,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,PR,São José dos Pinhais,-25.5313,-49.2031
Taubateamo Gastronomia,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,SP,Taubaté,-23.0104,-45.5593
Bares Centenarios,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,RJ,Rio de Janeiro,-22.9129,-43.2003
Pisa Da Uva No Lagar,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,São Roque,-23.5226,-47.1357
Festival De Gastronomia Caiçara,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,PR,Pontal do Paraná,-25.6735,-48.5111
Festival De Gastronomia Caiçara,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,PR,Matinhos,-25.8237,-48.549
Rota Queijos E Vinhos,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Mensal,PR,,-24.89,-51.55
Circuito Gastronomico,Evento / Festival;Projeto Social;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,AL,Barra de São Miguel,-9.83842,-35.9057
Festival Grastronomico De Frutos Do Mar De Itapemirim,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,ES,Itapemirim,-20.8462,-41.1198
Gastronomia Mineira Com Mestras De Igarapé,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,MG,Brumadinho,-20.151,-44.2007
Experiência Ao Gosto Do Rei,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,MG,Brumadinho,-20.151,-44.2007
Experiência Mundo Mágico Dos Picolés,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,MG,Brumadinho,-20.151,-44.2007
Experiência Menu Degustação Na Fábrica,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,MG,Brumadinho,-20.151,-44.2007
Experiência Café Colonial Mineiro,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,MG,Brumadinho,-20.151,-44.2007
Experiência Agroecologia Pedagógica,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,MG,Brumadinho,-20.151,-44.2007
Roteiro Cozinha E Quintais Das Mestras,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,MG,Brumadinho,-20.151,-44.2007
Roteiro Rota Da Cachaça,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,MG,Brumadinho,-20.151,-44.2007
15º Festival Gastronômico De Taquaruçu,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,TO,Palmas,-10.24,-48.3558
Mostra De Comuda Regional,Projeto Social;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,AM,Manaus,-3.1186599999999998,-60.0212
Bananeiras Fest Culturas Do Brejo,Evento / Festival;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,PB,Bananeiras,-6.74775,-35.6246
Rota Gourmet Das Terasa Lttas Da Mantiqueira,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Outra,MG,Aiuruoca,-21.9736,-44.6042
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Agrolândia,-27.4087,-49.821999999999996
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Agronômica,-27.2662,-49.708
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Atalanta,-27.4219,-49.7789
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Aurora,-27.3098,-49.6295
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Braço do Trombudo,-27.3586,-49.8821
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Chapadão do Lageado,-27.5905,-49.5539
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Dona Emma,-26.980999999999998,-49.7261
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Ibirama,-27.0547,-49.5193
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Imbuia,-27.4908,-49.4218
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Ituporanga,-27.4101,-49.5963
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,José Boiteux,-26.9566,-49.6286
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Laurentino,-27.2173,-49.7331
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Lontras,-27.1684,-49.535
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Mirim Doce,-27.197,-50.0786
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Petrolândia,-27.5346,-49.6937
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Pouso Redondo,-27.2567,-49.9301
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Presidente Getúlio,-27.0474,-49.6246
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Presidente Nereu,-27.2768,-49.3889
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Rio do Campo,-26.9452,-50.136
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Rio do Sul,-27.2156,-49.643
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Rio do Oeste,-27.1952,-49.7989
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Salete,-26.9798,-49.9988
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Santa Terezinha,-26.7813,-50.00899999999999
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Taió,-27.121,-49.9942
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Trombudo Central,-27.3033,-49.793
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Vidal Ramos,-27.3886,-49.3593
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Vitor Meireles,-26.8782,-49.8328
Festival Gastronômico Do Alto Vale,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Witmarsum,-26.9275,-49.7947
Risoto No Tacho Da Apae- Sede,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,SC,Ipira,-27.4038,-51.7758
Circuito Gastronômico Goiás,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,GO,Goiânia,-16.8198,-49.2469
Festivais Gastronômicos Da Abrasel,Projeto Promocional;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,GO,Goiânia,-16.8198,-49.2469
Rotas Gastronômicas De Goiás,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,GO,Goiânia,-16.8198,-49.2469
Gastronomia Goiás,Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Permanente,GO,Goiânia,-16.8198,-49.2469
Rota Gourmet Alagoa,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,MG,São Lourenço,-22.1166,-45.0506
Rota Dos Cafes Artesanais Do Estado Do Rio De Janeiro,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Permanente,RJ,,-22.25,-42.66
Jantar E Baile Gaúcho - Linha São Luiz,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,SC,Ipira,-27.4038,-51.7758
Mostras Gastronômicas Temáticas,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Outra,RN,Tibau do Sul,-6.1917599999999995,-35.0866
Festival Ilhas E Sabores,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,PA,Belém,-1.4554,-48.4898
Festival Ilhas E Sabores,Evento / Festival;Projeto de Qualificação;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,PA,Belém,-1.4554,-48.4898
Festival Sabores De Alagoas,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,AL,Maceió,-9.665989999999999,-35.735
Feira Internacional De Gastronomia Amazônica - Figa,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Internacional,Bianual,AM,Manaus,-3.1186599999999998,-60.0212
Projeto Comidinha De Quintal: Culinária De Base Brasileira,Evento / Festival;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Anual,PA,Belém,-1.4554,-48.4898
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Maracanã,-0.778899,-47.452
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Salinópolis,-0.630815,-47.3465
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Augusto Corrêa,-1.0510899999999999,-46.6147
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Bragança,-1.06126,-46.7826
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Abaetetuba,-1.72183,-48.8788
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Cametá,-2.24295,-49.4979
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Mocajuba,-2.5831,-49.5042
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Tomé-Açu,-2.41302,-48.1415
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Irituia,-1.76984,-47.446000000000005
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Ourém,-1.54168,-47.1126
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Tucuruí,-3.7657,-49.6773
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Paragominas,-3.00212,-47.3527
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Tucumã,-6.7468699999999995,-51.1626
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,São Félix do Xingu,-6.6425399999999994,-51.9904
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Curionópolis,-6.09965,-49.6068
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Parauapebas,-6.06781,-49.9037
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Marabá,-5.38075,-49.1327
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,São Geraldo do Araguaia,-6.39471,-48.5592
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Xinguara,-7.0983,-49.9437
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Conceição do Araguaia,-8.26136,-49.2689
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Óbidos,-1.90107,-55.5208
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Oriximiná,-1.7598900000000002,-55.8579
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Juruti,-2.1634700000000002,-56.0889
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Terra Santa,-2.10443,-56.4877
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Alenquer,-1.94623,-54.7384
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Belterra,-2.6360900000000003,-54.9374
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Prainha,-1.798,-53.4779
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Monte Alegre,-1.99768,-54.0724
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Santarém,-2.4384900000000003,-54.6996
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Almeirim,-1.52904,-52.5788
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Aveiro,-3.6084099999999997,-55.3199
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Altamira,-3.20407,-52.21
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Medicilândia,-3.4463699999999995,-52.8875
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Belém,-1.4554,-48.4898
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Castanhal,-1.29797,-47.9167
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Melgaço,-1.8032,-50.7149
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Afuá,-0.154874,-50.3861
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Breves,-1.6803599999999999,-50.4791
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Salvaterra,-0.758444,-48.5139
Volta Ao Pará Em 40 Destinos,Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - mapeamento turistico e divulgação do turismo;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Bianual,PA,Soure,-0.73032,-48.5015
"Produção De Quitandas Tradicionais Da Cozinha Peçanhense, Doces E Rapadura",Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,MG,Peçanha,-18.5441,-42.5583
Festival Da Moqueca Capixaba,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,ES,Anchieta,-20.7955,-40.6425
Festival Da Moqueca Capixaba,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,ES,Piúma,-20.8334,-40.7268
Festival Da Moqueca Capixaba,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,ES,Guarapari,-20.6772,-40.5093
Manguinhos Gourmet,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,ES,Serra,-20.121,-40.3074
Festival Do Bacalhau,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RJ,Duas Barras,-22.0536,-42.5232
18-Festa Santa Ana- Linha Santana,Evento / Festival;Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,SC,Ipira,-27.4038,-51.7758
Brumadinho Gourmet,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,Brumadinho,-20.151,-44.2007
Tbc- Turismo De Base Comunitária,Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Mensal,BA,Itaeté,-12.9831,-40.9677
